1,ID429198,429198,0,35.845,104.451,616.891,0,1,1,11.500,1,-10921639,153.313,255,0,255,74970,124.988,18.065,1.000,1.227
2,ID429314,429314,0,36.269,106.550,622.049,0,2,2,11.500,1,-10921639,160.092,255,0,255,78285,123.390,18.451,1.000,1.297
3,ID428966,428966,0,36.156,105.775,623.532,0,3,3,11.500,1,-10921639,158.528,255,0,255,77520,123.794,18.264,1.000,1.281
4,ID429433,429433,0,36.582,105.507,623.536,0,4,4,11.500,1,-10921639,167.914,255,0,255,82110,121.049,19.040,1.000,1.387
5,ID429557,429557,0,36.975,103.877,624.331,0,5,5,11.500,1,-10921639,174.693,255,0,255,85425,118.566,19.876,1.000,1.473
6,ID429682,429682,0,36.954,103.727,624.104,0,6,6,11.500,1,-10921639,174.172,255,0,255,85170,118.772,19.871,1.000,1.466
7,ID429790,429790,0,37.012,103.240,623.785,0,7,7,11.500,1,-10921639,175.736,255,0,255,85935,118.144,19.920,1.000,1.487
8,ID429907,429907,0,37.006,102.526,624.839,0,8,8,11.500,1,-10921639,176.779,255,0,255,86445,117.712,19.875,1.000,1.502
9,ID430022,430022,0,37.016,103.013,626.054,0,9,9,11.500,1,-10921639,174.693,255,0,255,85425,118.566,19.926,1.000,1.473
10,ID430148,430148,0,36.969,102.501,621.768,0,10,10,11.500,1,-10921639,176.258,255,0,255,86190,117.930,19.823,1.000,1.495
11,ID430288,430288,0,37.238,103.232,621.194,0,11,11,11.500,1,-10921639,182.515,255,0,255,89250,115.138,20.072,1.000,1.585
12,ID430433,430433,0,37.374,102.877,620.899,0,12,12,11.500,1,-10921639,186.166,255,0,255,91035,113.317,20.146,1.000,1.643
13,ID430591,430591,0,37.524,102.345,620.380,0,13,13,11.500,1,-10921639,199.202,255,0,255,97410,105.536,20.415,0.998,1.886
14,ID430709,430709,0,37.460,101.468,622.726,0,14,14,11.500,1,-10921639,196.074,255,0,255,95880,107.599,20.327,0.998,1.820
15,ID430835,430835,0,37.403,101.394,624.249,0,15,15,11.500,1,-10921639,190.859,255,0,255,93330,110.756,20.220,1.000,1.723
16,ID430973,430973,0,37.516,101.310,624.668,0,16,16,11.500,1,-10921639,196.595,255,0,255,96135,107.264,20.354,1.000,1.833
17,ID431273,431273,0,37.538,102.390,625.522,0,17,17,11.500,1,-10921639,202.331,255,0,255,98940,103.336,20.528,0.998,1.956
18,ID431113,431113,0,37.534,102.508,626.991,0,18,18,11.500,1,-10921639,200.245,255,0,255,97920,104.818,20.469,1.000,1.910
19,ID431407,431407,0,37.520,101.281,626.670,0,19,19,11.500,1,-10921639,197.117,255,0,255,96390,106.926,20.369,1.000,1.843
